yolov3-voc
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
384
Loaded: 0.000029 seconds
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495170, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469179, .5R: -nan, .75R: -nan,  count: 0
1: 802.930359, 802.930359 avg, 0.000000 rate, 3.568315 seconds, 64 images
Loaded: 0.000035 seconds
Region 82 Avg IOU: 0.122810, Class: 0.421309, Obj: 0.534082, No Obj: 0.474427, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494540, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469579, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.240305, Class: 0.316815, Obj: 0.553388, No Obj: 0.477195, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495057, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469164, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.069056, Class: 0.502063, Obj: 0.512018, No Obj: 0.472046, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493918, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470124, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.191910, Class: 0.419190, Obj: 0.556475, No Obj: 0.475171, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.496451, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468094, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.263410, Class: 0.317207, Obj: 0.704769, No Obj: 0.474235, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.496152, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468038, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.130026, Class: 0.430739, Obj: 0.574654, No Obj: 0.476173, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493862, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470040, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.100908, Class: 0.261101, Obj: 0.403969, No Obj: 0.475095, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494093, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472168, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.347840, Class: 0.509732, Obj: 0.578719, No Obj: 0.474881, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495668, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468968, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.200984, Class: 0.275662, Obj: 0.578476, No Obj: 0.474169, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.496029, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469877, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.276722, Class: 0.467220, Obj: 0.502131, No Obj: 0.474349, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494989, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471008, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.210852, Class: 0.279277, Obj: 0.687571, No Obj: 0.474227, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493842, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470452, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.114550, Class: 0.268029, Obj: 0.530104, No Obj: 0.471872, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493885, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471833, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.095047, Class: 0.268473, Obj: 0.374575, No Obj: 0.473024, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494917, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470296, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.309427, Class: 0.295640, Obj: 0.486161, No Obj: 0.473119, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495469, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471170, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.131878, Class: 0.358028, Obj: 0.633239, No Obj: 0.474984, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495089, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469284, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.239968, Class: 0.187470, Obj: 0.660802, No Obj: 0.475361, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495227, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468578, .5R: -nan, .75R: -nan,  count: 0
2: 802.959595, 802.933289 avg, 0.000000 rate, 3.700671 seconds, 128 images
Loaded: 0.000033 seconds
Region 82 Avg IOU: 0.187072, Class: 0.368898, Obj: 0.616137, No Obj: 0.472812, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495444, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468798, .5R: -nan, .75R: -nan,  count: 0
